timestamp	position_rotation	position_translation
2026-03-03 06:15:20.026+00	{0,0,0.6980214,-0.7160769}	{-80.14484,81.01267,1.89}
2026-03-03 06:15:20.11+00	{0,0,0.7024847,-0.71169883}	{-79.84615,81.042,1.89}
2026-03-03 06:15:20.237+00	{0,0,0.7063295,-0.7078832}	{-79.51982,81.07252,1.89}
2026-03-03 06:15:20.442+00	{0,0,0.71306795,-0.7010949}	{-79.04014,81.06872,1.89}
2026-03-03 06:15:20.684+00	{0,0,0.7196919,-0.6942936}	{-78.649734,81.08859,1.89}
2026-03-03 06:15:20.771+00	{0,0,0.72361535,-0.6902035}	{-78.33344,81.10292,1.89}
2026-03-03 06:15:20.922+00	{0,0,0.7262227,-0.6874595}	{-78.00586,81.11046,1.89}
2026-03-03 06:15:21.116+00	{0,0,0.7293595,-0.6841306}	{-77.50558,81.122604,1.89}
2026-03-03 06:15:21.26+00	{0,0,0.73064923,-0.682753}	{-77.18332,81.09014,1.89}
2026-03-03 06:15:21.441+00	{0,0,0.73067534,-0.6827251}	{-76.730705,81.05774,1.89}
2026-03-03 06:15:21.569+00	{0,0,0.72955376,-0.6839235}	{-76.41375,81.026405,1.89}
2026-03-03 06:15:21.776+00	{0,0,0.7273563,-0.68626004}	{-76.034294,81.02982,1.89}
2026-03-03 06:15:21.86+00	{0,0,0.7242049,-0.68958485}	{-75.72269,81.00556,1.89}
2026-03-03 06:15:22.044+00	{0,0,0.71880853,-0.69520813}	{-75.23221,80.93317,1.89}
2026-03-03 06:15:22.296+00	{0,0,0.71323925,-0.7009207}	{-74.81657,80.88304,1.89}
2026-03-03 06:15:22.504+00	{0,0,0.7066216,-0.70759165}	{-74.242485,80.84931,1.89}
2026-03-03 06:15:22.712+00	{0,0,0.7012338,-0.71293133}	{-73.892525,80.84111,1.89}
2026-03-03 06:15:22.976+00	{0,0,0.6958489,-0.7181882}	{-73.56113,80.836815,1.89}
2026-03-03 06:15:23.382+00	{0,0,0.69055504,-0.72327983}	{-73.254906,80.81962,1.89}
2026-03-03 06:15:24.118+00	{0,0,0.6965293,-0.7175283}	{-73.58267,80.82211,1.89}
2026-03-03 06:15:24.353+00	{0,0,0.7041885,-0.71001303}	{-73.94471,80.84009,1.89}
2026-03-03 06:15:24.596+00	{0,0,0.7130437,-0.7011196}	{-74.247925,80.87541,1.89}
2026-03-03 06:15:24.96+00	{0,0,0.726361,-0.68731344}	{-74.62282,80.8993,1.89}
2026-03-03 06:15:25.146+00	{0,0,0.31777433,-0.9481664}	{-81.36844,72.58418,1.89}
2026-03-03 06:15:25.359+00	{0,0,0.32171702,-0.9468359}	{-81.64581,72.32961,1.89}
2026-03-03 06:15:26.584+00	{0,0,0.3939789,-0.9191195}	{-81.65137,72.749176,1.89}
2026-03-03 06:15:26.804+00	{0,0,0.4452086,-0.89542687}	{-81.57127,73.09367,1.89}
2026-03-03 06:15:26.938+00	{0,0,0.46093524,-0.88743377}	{-81.22179,72.72419,1.89}
2026-03-03 06:15:27.021+00	{0,0,0.5121584,-0.858891}	{-81.13343,73.0187,1.89}
2026-03-03 06:15:27.11+00	{0,0,0.54859,-0.83609146}	{-81.07885,73.362686,1.89}
2026-03-03 06:15:27.316+00	{0,0,0.60237265,-0.798215}	{-80.829185,73.68926,1.89}
2026-03-03 06:15:27.553+00	{0,0,0.6370427,-0.7708285}	{-80.58816,73.941536,1.89}
2026-03-03 06:15:27.726+00	{0,0,0.6682851,-0.7439052}	{-80.16283,74.10981,1.89}
2026-03-03 06:15:28.124+00	{0,0,0.71956575,-0.6944243}	{-79.815765,74.055756,1.89}
2026-03-03 06:15:28.328+00	{0,0,0.7321923,-0.68109804}	{-79.32589,74.1404,1.89}
2026-03-03 06:15:28.464+00	{0,0,0.7372494,-0.6756208}	{-78.987946,74.179184,1.89}
2026-03-03 06:15:28.612+00	{0,0,0.73986495,-0.67275554}	{-78.655365,74.20292,1.89}
2026-03-03 06:15:28.784+00	{0,0,0.74186087,-0.67055386}	{-78.226494,74.105446,1.89}
2026-03-03 06:15:28.979+00	{0,0,0.74103403,-0.67146754}	{-77.90857,74.13822,1.89}
2026-03-03 06:15:29.038+00	{0,0,0.7391961,-0.67349035}	{-77.45028,74.07848,1.89}
2026-03-03 06:15:29.265+00	{0,0,0.73371327,-0.6794593}	{-76.96693,74.01495,1.89}
2026-03-03 06:15:29.419+00	{0,0,0.72931635,-0.6841766}	{-76.613525,73.97168,1.89}
2026-03-03 06:15:29.51+00	{0,0,0.7232119,-0.6906262}	{-76.27721,73.96872,1.89}
2026-03-03 06:15:29.725+00	{0,0,0.7128278,-0.7013391}	{-75.83927,73.94363,1.89}
2026-03-03 06:15:29.919+00	{0,0,0.7029492,-0.71124005}	{-75.31762,73.86377,1.89}
2026-03-03 06:15:30.116+00	{0,0,0.6961828,-0.7178646}	{-74.997955,73.840706,1.89}
2026-03-03 06:15:30.202+00	{0,0,0.6879274,-0.7257795}	{-74.64528,73.80535,1.89}
2026-03-03 06:15:30.329+00	{0,0,0.67709255,-0.73589784}	{-74.279816,73.75389,1.89}
2026-03-03 06:15:30.462+00	{0,0,0.66444117,-0.74734056}	{-73.94996,73.70165,1.89}
2026-03-03 06:15:30.716+00	{0,0,0.6385958,-0.7695423}	{-73.425255,73.62313,1.89}
2026-03-03 06:15:30.806+00	{0,0,0.6183642,-0.78589165}	{-73.10617,73.61233,1.89}
2026-03-03 06:15:30.915+00	{0,0,0.5958775,-0.80307525}	{-72.79786,73.63348,1.89}
2026-03-03 06:15:31.08+00	{0,0,0.5738894,-0.8189328}	{-72.41987,73.5996,1.89}
2026-03-03 06:15:31.192+00	{0,0,0.5520228,-0.833829}	{-72.09585,73.62271,1.89}
2026-03-03 06:15:31.359+00	{0,0,0.5402885,-0.84147984}	{-71.66767,73.81357,1.89}
2026-03-03 06:15:31.574+00	{0,0,0.4877565,-0.8729797}	{-71.12532,73.65834,1.89}
2026-03-03 06:15:31.609+00	{0,0,0.48742425,-0.87316525}	{-70.90483,74.505424,1.89}
2026-03-03 06:15:31.672+00	{0,0,0.47815526,-0.87827533}	{-71.166725,73.175285,1.89}
2026-03-03 06:15:31.843+00	{0,0,0.43050176,-0.90258974}	{-70.59959,73.76701,1.89}
2026-03-03 06:15:32.202+00	{0,0,0.39042136,-0.9206363}	{-70.07061,73.89279,1.89}
2026-03-03 06:15:32.461+00	{0,0,0.3580601,-0.93369853}	{-69.74981,74.04937,1.89}
2026-03-03 06:15:32.782+00	{0,0,0.3378992,-0.9411823}	{-69.47371,74.20135,1.89}
2026-03-03 06:15:33.187+00	{0,0,0.3231061,-0.94636273}	{-69.177574,74.37665,1.89}
2026-03-03 06:15:33.589+00	{0,0,0.3119343,-0.95010364}	{-68.94653,74.616516,1.89}
2026-03-03 06:15:34.125+00	{0,0,0.30266714,-0.95309633}	{-68.732376,74.838356,1.89}
2026-03-03 06:15:34.87+00	{0,0,0.3079584,-0.9513998}	{-68.9646,74.54916,1.89}
2026-03-03 06:15:35.196+00	{0,0,0.3085516,-0.9512076}	{-69.22307,74.16672,1.89}
2026-03-03 06:15:35.446+00	{0,0,0.31255412,-0.9499}	{-69.45479,73.87073,1.89}
2026-03-03 06:15:35.853+00	{0,0,0.3301919,-0.9439138}	{-69.6828,73.63615,1.89}
2026-03-03 06:15:36.811+00	{0,0,0.29125023,-0.9566469}	{-69.347015,73.793884,1.89}
2026-03-03 06:15:37.165+00	{0,0,0.20789179,-0.9781518}	{-68.994316,73.90962,1.89}
2026-03-03 06:15:37.405+00	{0,0,0.18167914,-0.98335785}	{-68.736,74.19184,1.89}
2026-03-03 06:15:37.448+00	{0,0,0.12521149,-0.99213004}	{-68.26788,74.813576,1.89}
2026-03-03 06:15:37.517+00	{0,0,0.1088452,-0.9940587}	{-68.396255,74.47105,1.89}
2026-03-03 06:15:37.629+00	{0,0,0.07327472,-0.9973118}	{-68.24232,74.770386,1.89}
2026-03-03 06:15:37.927+00	{0,0,0.056225467,-0.9984181}	{-67.840805,75.26371,1.89}
2026-03-03 06:15:38.147+00	{0,0,0.024504865,-0.9996997}	{-67.748085,75.6693,1.89}
2026-03-03 06:15:38.381+00	{0,0,0.011950479,-0.9999286}	{-67.67243,75.99443,1.89}
2026-03-03 06:15:38.466+00	{0,0,0.007907698,-0.9999687}	{-67.63759,76.41976,1.89}
2026-03-03 06:15:38.63+00	{0,0,0.010416351,-0.99994576}	{-67.61365,76.84184,1.89}
2026-03-03 06:15:38.703+00	{0,0,0.01800026,-0.999838}	{-67.647,77.170334,1.89}
2026-03-03 06:15:38.944+00	{0,0,0.034589097,-0.9994016}	{-67.67949,77.54627,1.89}
2026-03-03 06:15:39.079+00	{0,0,0.046363924,-0.9989246}	{-67.69366,77.89502,1.89}
2026-03-03 06:15:39.244+00	{0,0,0.05655396,-0.99839956}	{-67.6912,78.207054,1.89}
2026-03-03 06:15:39.326+00	{0,0,0.06488319,-0.99789286}	{-67.69838,78.56476,1.89}
2026-03-03 06:15:39.464+00	{0,0,0.0686255,-0.9976425}	{-67.66649,78.89688,1.89}
2026-03-03 06:15:39.591+00	{0,0,0.06887394,-0.99762535}	{-67.623604,79.25026,1.89}
2026-03-03 06:15:39.779+00	{0,0,0.06410054,-0.99794346}	{-67.53691,79.72876,1.89}
2026-03-03 06:15:39.923+00	{0,0,0.058097918,-0.99831086}	{-67.417336,80.04074,1.89}
2026-03-03 06:15:40.048+00	{0,0,0.047936093,-0.9988504}	{-67.33431,80.34494,1.89}
2026-03-03 06:15:40.301+00	{0,0,0.027112294,-0.9996324}	{-67.26437,80.70155,1.89}
2026-03-03 06:15:40.373+00	{0,0,0.016939817,-0.99985653}	{-67.229256,81.00926,1.89}
2026-03-03 06:15:40.524+00	{0,0,0.01218253,0.9999258}	{-67.1853,81.16137,1.89}
2026-03-03 06:15:40.662+00	{0,0,0.04085917,0.99916494}	{-67.00457,81.791985,1.89}
2026-03-03 06:15:40.781+00	{0,0,0.068385474,0.99765897}	{-66.91501,82.18578,1.89}
2026-03-03 06:15:41.004+00	{0,0,0.10728556,0.99422824}	{-66.76141,82.59571,1.89}
2026-03-03 06:15:41.188+00	{0,0,0.13453904,0.9909083}	{-66.75846,82.93764,1.89}
2026-03-03 06:15:41.406+00	{0,0,0.17088814,0.98529047}	{-66.67854,83.49891,1.89}
2026-03-03 06:15:41.525+00	{0,0,0.19329584,0.98114055}	{-66.628,83.878845,1.89}
2026-03-03 06:15:41.723+00	{0,0,0.21989039,0.9755246}	{-66.78521,84.329094,1.89}
2026-03-03 06:15:42.021+00	{0,0,0.25056568,0.9680996}	{-66.91422,84.66573,1.89}
2026-03-03 06:15:42.095+00	{0,0,0.263754,0.96458995}	{-67.00872,85.08579,1.89}
2026-03-03 06:15:42.371+00	{0,0,0.2866681,0.95803}	{-67.12076,85.37702,1.89}
2026-03-03 06:15:42.523+00	{0,0,0.2975472,0.95470715}	{-67.21766,85.74202,1.89}
2026-03-03 06:15:42.918+00	{0,0,0.32137483,0.9469521}	{-67.410995,86.11043,1.89}
2026-03-03 06:15:42.987+00	{0,0,0.32917884,0.94426763}	{-67.49624,86.39826,1.89}
2026-03-03 06:15:43.283+00	{0,0,0.34116128,0.94000477}	{-67.65133,86.69896,1.89}
2026-03-03 06:15:43.668+00	{0,0,0.35333726,0.93549603}	{-67.7882,86.98249,1.89}
2026-03-03 06:15:46.896+00	{0,0,0.37740764,0.92604727}	{-67.98942,87.272766,1.89}
2026-03-03 06:15:47.159+00	{0,0,0.42162493,0.90677035}	{-68.17035,87.59655,1.89}
2026-03-03 06:15:47.525+00	{0,0,0.46943554,0.88296676}	{-68.296776,87.94965,1.89}
2026-03-03 06:15:47.632+00	{0,0,0.49601242,0.86831546}	{-68.414116,88.2271,1.89}
2026-03-03 06:15:47.875+00	{0,0,0.5370913,0.84352416}	{-68.537155,88.5162,1.89}
2026-03-03 06:15:48.106+00	{0,0,0.5891985,0.80798835}	{-68.69783,88.857864,1.89}
2026-03-03 06:15:48.386+00	{0,0,0.63403493,0.77330446}	{-68.88486,89.11777,1.89}
2026-03-03 06:15:48.406+00	{0,0,0.6315033,0.7753732}	{-69.00622,88.504036,1.89}
2026-03-03 06:15:48.534+00	{0,0,0.6483986,0.7613011}	{-68.95438,89.236046,1.89}
2026-03-03 06:15:48.789+00	{0,0,0.6930763,0.72086424}	{-69.184746,89.452415,1.89}
2026-03-03 06:15:49.058+00	{0,0,0.73703456,0.675855}	{-69.492874,89.65928,1.89}
2026-03-03 06:15:49.144+00	{0,0,0.7373536,0.6755069}	{-69.685005,89.35789,1.89}
2026-03-03 06:15:49.202+00	{0,0,0.7606811,0.6491257}	{-69.632034,89.75093,1.89}
2026-03-03 06:15:49.439+00	{0,0,0.7816223,0.623752}	{-69.90369,89.94879,1.89}
2026-03-03 06:15:49.622+00	{0,0,0.8142794,0.58047307}	{-70.22309,89.99433,1.89}
2026-03-03 06:15:49.849+00	{0,0,0.8392879,0.5436873}	{-70.54751,90.03385,1.89}
2026-03-03 06:15:50.269+00	{0,0,0.8619717,0.50695634}	{-70.85558,89.98324,1.89}
2026-03-03 06:15:51.785+00	{0,0,0.8565111,0.5161285}	{-70.48986,90.14153,1.89}
2026-03-03 06:15:52.18+00	{0,0,0.85233915,0.5229894}	{-70.19523,90.26474,1.89}
2026-03-03 06:15:52.535+00	{0,0,0.8477976,0.53031987}	{-69.8845,90.39271,1.89}
2026-03-03 06:15:54.202+00	{0,0,0.8584856,0.5128376}	{-70.21351,90.34181,1.89}
2026-03-03 06:15:54.817+00	{0,0,0.8662642,0.49958605}	{-70.523735,90.240265,1.89}
2026-03-03 06:15:55.144+00	{0,0,0.8688334,0.4951045}	{-70.84033,90.078995,1.89}
2026-03-03 06:15:55.511+00	{0,0,0.8715925,0.490231}	{-71.15772,89.94296,1.89}
2026-03-03 06:15:56.95+00	{0,0,0.8247785,0.5654559}	{-70.85193,89.87605,1.89}
2026-03-03 06:15:57.262+00	{0,0,0.77026874,0.63771933}	{-70.51647,89.64106,1.89}
2026-03-03 06:15:57.523+00	{0,0,0.7236443,0.69017315}	{-70.25025,89.39656,1.89}
2026-03-03 06:15:57.715+00	{0,0,0.6875505,0.72613657}	{-70.024734,89.13154,1.89}
2026-03-03 06:15:57.915+00	{0,0,0.64955604,0.76031375}	{-69.78482,88.91327,1.89}
2026-03-03 06:15:58.116+00	{0,0,0.61114734,0.7915169}	{-69.5433,88.663605,1.89}
2026-03-03 06:15:58.313+00	{0,0,0.58315057,0.8123641}	{-69.29952,88.42519,1.89}
2026-03-03 06:15:58.575+00	{0,0,0.55181545,0.8339663}	{-69.04125,88.22751,1.89}
2026-03-03 06:15:58.907+00	{0,0,0.52776605,0.84938985}	{-68.6013,87.9832,1.89}
2026-03-03 06:15:59.132+00	{0,0,0.5287088,0.84880334}	{-68.33059,87.81623,1.89}
2026-03-03 06:15:59.323+00	{0,0,0.5369558,0.84361047}	{-67.92618,87.67081,1.89}
2026-03-03 06:15:59.556+00	{0,0,0.5474718,0.8368242}	{-67.6256,87.595604,1.89}
2026-03-03 06:15:59.669+00	{0,0,0.5668829,0.8237984}	{-67.29716,87.52314,1.89}
2026-03-03 06:15:59.905+00	{0,0,0.60236657,0.7982196}	{-66.94281,87.55405,1.89}
2026-03-03 06:15:59.941+00	{0,0,0.5952476,0.8035424}	{-67.25362,87.54001,1.89}
2026-03-03 06:16:00.073+00	{0,0,0.5973584,0.8019744}	{-66.84742,87.51865,1.89}
2026-03-03 06:16:00.471+00	{0,0,0.620255,0.7844003}	{-66.48583,87.507965,1.89}
2026-03-03 06:16:00.632+00	{0,0,0.62517935,0.78048116}	{-66.125854,87.58463,1.89}
2026-03-03 06:16:01.361+00	{0,0,0.64532346,0.7639095}	{-65.82394,87.65343,1.89}
2026-03-03 06:16:01.681+00	{0,0,0.6442422,0.7648216}	{-65.51161,87.596306,1.89}
2026-03-03 06:16:01.973+00	{0,0,0.63085026,0.77590466}	{-65.18922,87.58622,1.89}
2026-03-03 06:16:02.258+00	{0,0,0.62261575,0.78252774}	{-64.90841,87.403564,1.89}
2026-03-03 06:16:02.692+00	{0,0,0.6146892,0.7887695}	{-64.630554,87.28658,1.89}
2026-03-03 06:16:03.526+00	{0,0,0.63162076,0.77527755}	{-64.98033,87.41729,1.89}
2026-03-03 06:16:03.802+00	{0,0,0.6352194,0.7723318}	{-65.27992,87.53376,1.89}
2026-03-03 06:16:04.158+00	{0,0,0.63499486,0.7725164}	{-65.617424,87.57928,1.89}
2026-03-03 06:16:05.447+00	{0,0,0.63537186,0.77220637}	{-65.23502,87.50636,1.89}
2026-03-03 06:16:05.735+00	{0,0,0.6373739,0.7705547}	{-64.97319,87.34378,1.89}
2026-03-03 06:16:06.023+00	{0,0,0.6356238,0.771999}	{-64.56183,87.35508,1.89}
2026-03-03 06:16:06.417+00	{0,0,0.6326582,0.7744312}	{-64.24442,87.303276,1.89}
2026-03-03 06:16:07.347+00	{0,0,0.6382608,0.7698203}	{-64.53917,87.38673,1.89}
2026-03-03 06:16:07.597+00	{0,0,0.6393077,0.76895106}	{-64.85665,87.453476,1.89}
2026-03-03 06:16:08.044+00	{0,0,0.63998145,0.7683904}	{-65.21141,87.518135,1.89}
2026-03-03 06:16:08.312+00	{0,0,0.6423398,0.76642}	{-65.569115,87.59903,1.89}
2026-03-03 06:16:08.642+00	{0,0,0.6497082,0.7601837}	{-65.87164,87.6587,1.89}
2026-03-03 06:16:08.865+00	{0,0,0.6576841,0.75329393}	{-66.17466,87.75145,1.89}
2026-03-03 06:16:09.003+00	{0,0,0.6650868,0.74676615}	{-66.47501,87.83712,1.89}
2026-03-03 06:16:09.226+00	{0,0,0.6733964,0.73928165}	{-66.7943,87.903046,1.89}
2026-03-03 06:16:09.454+00	{0,0,0.68135905,0.7319494}	{-67.15569,87.944725,1.89}
2026-03-03 06:16:09.724+00	{0,0,0.6860075,0.72759444}	{-67.5031,88.00717,1.89}
2026-03-03 06:16:10.296+00	{0,0,0.68954927,0.7242388}	{-67.802795,88.043625,1.89}
2026-03-03 06:16:10.994+00	{0,0,0.68548524,0.7280865}	{-67.44136,87.99271,1.89}
2026-03-03 06:16:11.306+00	{0,0,0.68154085,0.7317801}	{-67.005875,87.94796,1.89}
2026-03-03 06:16:11.776+00	{0,0,0.6792871,0.7338727}	{-66.675224,87.91807,1.89}
2026-03-03 06:16:12.93+00	{0,0,0.6741133,0.73862803}	{-66.35498,87.88638,1.89}
2026-03-03 06:16:13.389+00	{0,0,0.66500646,0.7468377}	{-65.93006,87.81895,1.89}
2026-03-03 06:16:13.652+00	{0,0,0.6578736,0.7531284}	{-65.59143,87.72269,1.89}
2026-03-03 06:16:13.933+00	{0,0,0.64961976,0.76025933}	{-65.23351,87.64475,1.89}
2026-03-03 06:16:14.297+00	{0,0,0.6435232,0.76542664}	{-64.89428,87.5536,1.89}
2026-03-03 06:16:14.573+00	{0,0,0.6383488,0.76974726}	{-64.581924,87.54054,1.89}
2026-03-03 06:16:14.832+00	{0,0,0.6347659,0.77270454}	{-64.2897,87.41156,1.89}
2026-03-03 06:16:15.296+00	{0,0,0.63002944,0.7765713}	{-63.99706,87.339355,1.89}
2026-03-03 06:16:17.337+00	{0,0,0.67874515,0.734374}	{-64.254,87.54946,1.89}
2026-03-03 06:16:17.711+00	{0,0,0.72084314,0.69309825}	{-64.41288,87.87401,1.89}
2026-03-03 06:16:17.955+00	{0,0,0.7586208,0.65153235}	{-64.979805,87.628426,1.89}
2026-03-03 06:16:18.588+00	{0,0,0.81574214,0.5784157}	{-65.435905,87.945816,1.89}
2026-03-03 06:16:18.882+00	{0,0,0.8522085,0.52320224}	{-65.688835,87.441124,1.89}
2026-03-03 06:16:19.051+00	{0,0,0.86138844,0.5079467}	{-66.022964,87.02746,1.89}
2026-03-03 06:16:19.126+00	{0,0,0.86639047,0.49936715}	{-66.58888,87.49888,1.89}
2026-03-03 06:16:19.31+00	{0,0,0.88607466,0.46354258}	{-67.03233,87.452675,1.89}
2026-03-03 06:16:19.512+00	{0,0,0.89905274,0.43784037}	{-67.5103,87.34378,1.89}
2026-03-03 06:16:19.658+00	{0,0,0.8986836,0.43859753}	{-67.95168,87.42039,1.89}
2026-03-03 06:16:19.739+00	{0,0,0.899366,0.4371965}	{-68.27089,87.40796,1.89}
2026-03-03 06:16:19.929+00	{0,0,0.9063964,0.42242822}	{-69.033516,87.02658,1.89}
2026-03-03 06:16:20.141+00	{0,0,0.90695924,0.4212183}	{-69.28165,86.74911,1.89}
2026-03-03 06:16:20.358+00	{0,0,0.9052989,0.42477515}	{-69.581665,86.56384,1.89}
2026-03-03 06:16:20.434+00	{0,0,0.9038382,0.42787433}	{-69.94386,86.34933,1.89}
2026-03-03 06:16:20.714+00	{0,0,0.9024814,0.4307288}	{-70.27563,86.14001,1.89}
2026-03-03 06:16:20.848+00	{0,0,0.90107465,0.433664}	{-70.599625,85.98564,1.89}
2026-03-03 06:16:20.957+00	{0,0,0.90105915,0.43369624}	{-70.81615,85.7695,1.89}
2026-03-03 06:16:21.115+00	{0,0,0.8993529,0.43722337}	{-71.17388,85.56391,1.89}
2026-03-03 06:16:21.211+00	{0,0,0.8979035,0.44019228}	{-71.517204,85.47244,1.89}
2026-03-03 06:16:21.336+00	{0,0,0.8979309,0.44013643}	{-71.694756,85.185165,1.89}
2026-03-03 06:16:21.381+00	{0,0,0.8960274,0.44399875}	{-71.97482,85.01132,1.89}
2026-03-03 06:16:21.558+00	{0,0,0.8926033,0.45084292}	{-72.38407,84.837944,1.89}
2026-03-03 06:16:21.637+00	{0,0,0.89004505,0.45587254}	{-72.65649,84.58031,1.89}
2026-03-03 06:16:21.836+00	{0,0,0.88683015,0.46209553}	{-73.01439,84.233955,1.89}
2026-03-03 06:16:22.025+00	{0,0,0.88414186,0.4672185}	{-73.28797,84.04258,1.89}
2026-03-03 06:16:22.104+00	{0,0,0.88149846,0.47218692}	{-73.5488,83.82186,1.89}
2026-03-03 06:16:22.259+00	{0,0,0.879275,0.47631446}	{-73.81321,83.59626,1.89}
2026-03-03 06:16:22.37+00	{0,0,0.8766608,0.4811089}	{-74.09242,83.36916,1.89}
2026-03-03 06:16:22.571+00	{0,0,0.8732783,0.48722163}	{-74.43972,83.173355,1.89}
2026-03-03 06:16:22.728+00	{0,0,0.8705606,0.49206117}	{-74.71494,82.92786,1.89}
2026-03-03 06:16:22.941+00	{0,0,0.8678766,0.4967798}	{-75.07851,82.69877,1.89}
2026-03-03 06:16:23.096+00	{0,0,0.8658112,0.5003707}	{-75.33816,82.5228,1.89}
2026-03-03 06:16:23.186+00	{0,0,0.86365825,0.50407773}	{-75.62123,82.356384,1.89}
2026-03-03 06:16:23.35+00	{0,0,0.8607893,0.50896144}	{-75.8962,82.19958,1.89}
2026-03-03 06:16:23.466+00	{0,0,0.8590292,0.51192653}	{-76.16055,82.028175,1.89}
2026-03-03 06:16:23.566+00	{0,0,0.8568493,0.5155668}	{-76.43407,81.86692,1.89}
2026-03-03 06:16:23.757+00	{0,0,0.854302,0.5197769}	{-76.7504,81.69448,1.89}
2026-03-03 06:16:23.832+00	{0,0,0.8521528,0.5232929}	{-77.02482,81.53621,1.89}
2026-03-03 06:16:23.98+00	{0,0,0.8499206,0.5269107}	{-77.327614,81.3935,1.89}
2026-03-03 06:16:24.149+00	{0,0,0.8479971,0.53000075}	{-77.62014,81.21441,1.89}
2026-03-03 06:16:24.235+00	{0,0,0.84606946,0.5330726}	{-77.893166,81.07111,1.89}
2026-03-03 06:16:24.442+00	{0,0,0.8429459,0.53799826}	{-78.326645,80.84836,1.89}
2026-03-03 06:16:24.614+00	{0,0,0.84118164,0.5407526}	{-78.59911,80.71154,1.89}
2026-03-03 06:16:24.734+00	{0,0,0.8393537,0.54358566}	{-78.90606,80.56583,1.89}
2026-03-03 06:16:24.909+00	{0,0,0.83763844,0.5462251}	{-79.3272,80.34359,1.89}
2026-03-03 06:16:25.092+00	{0,0,0.8356876,0.549205}	{-79.61594,80.24694,1.89}
2026-03-03 06:16:25.184+00	{0,0,0.83559257,0.5493496}	{-79.9465,80.09438,1.89}
2026-03-03 06:16:25.377+00	{0,0,0.835564,0.549393}	{-80.40306,79.90275,1.89}
2026-03-03 06:16:25.52+00	{0,0,0.83669096,0.5476752}	{-80.69135,79.79166,1.89}
2026-03-03 06:16:25.708+00	{0,0,0.83895195,0.5442054}	{-81.062065,79.5768,1.89}
2026-03-03 06:16:25.866+00	{0,0,0.8401605,0.54233783}	{-81.35261,79.4751,1.89}
2026-03-03 06:16:26.064+00	{0,0,0.84246254,0.5387548}	{-81.772896,79.286644,1.89}
2026-03-03 06:16:26.296+00	{0,0,0.84379816,0.5366606}	{-82.076706,79.159805,1.89}
2026-03-03 06:16:26.33+00	{0,0,0.8446857,0.5352626}	{-82.3618,79.04609,1.89}
2026-03-03 06:16:26.533+00	{0,0,0.8466269,0.53218687}	{-82.76657,78.853325,1.89}
2026-03-03 06:16:26.736+00	{0,0,0.84874237,0.5288065}	{-83.15877,78.7053,1.89}
2026-03-03 06:16:26.927+00	{0,0,0.85065544,0.5257236}	{-83.50784,78.55146,1.89}
2026-03-03 06:16:27.062+00	{0,0,0.8525698,0.5226133}	{-83.795494,78.421906,1.89}
2026-03-03 06:16:27.274+00	{0,0,0.8542765,0.51981884}	{-84.084785,78.29351,1.89}
2026-03-03 06:16:27.44+00	{0,0,0.8572089,0.51496875}	{-84.61604,78.02994,1.89}
2026-03-03 06:16:27.669+00	{0,0,0.8589892,0.51199365}	{-84.98713,77.85481,1.89}
2026-03-03 06:16:27.897+00	{0,0,0.8604601,0.5095177}	{-85.36014,77.67293,1.89}
2026-03-03 06:16:28.065+00	{0,0,0.86196584,0.5069663}	{-85.71806,77.48975,1.89}
2026-03-03 06:16:28.239+00	{0,0,0.8636643,0.5040673}	{-86.0789,77.31142,1.89}
2026-03-03 06:16:28.438+00	{0,0,0.8655183,0.50087726}	{-86.44631,77.10805,1.89}
2026-03-03 06:16:28.637+00	{0,0,0.86759347,0.4972741}	{-86.7991,76.92259,1.89}
2026-03-03 06:16:28.838+00	{0,0,0.8695178,0.49390158}	{-87.14052,76.722084,1.89}
2026-03-03 06:16:29.024+00	{0,0,0.8708304,0.49158356}	{-87.40882,76.58503,1.89}
2026-03-03 06:16:29.228+00	{0,0,0.8728498,0.48798895}	{-87.74429,76.38091,1.89}
2026-03-03 06:16:29.383+00	{0,0,0.8750419,0.48404714}	{-88.09524,76.1977,1.89}
2026-03-03 06:16:29.571+00	{0,0,0.8774684,0.4796344}	{-88.42279,75.97582,1.89}
2026-03-03 06:16:29.775+00	{0,0,0.87972313,0.47548628}	{-88.76148,75.78098,1.89}
2026-03-03 06:16:29.997+00	{0,0,0.8820648,0.471128}	{-89.07204,75.55883,1.89}
2026-03-03 06:16:30.183+00	{0,0,0.8842761,0.46696442}	{-89.38642,75.3696,1.89}
2026-03-03 06:16:30.403+00	{0,0,0.9998731,-0.0159321}	{-103.8217,77.768074,1.89}
2026-03-03 06:16:30.6+00	{0,0,0.9997957,-0.020214519}	{-103.80274,77.45864,1.89}
2026-03-03 06:16:30.786+00	{0,0,0.9997122,-0.023988163}	{-103.810715,77.15152,1.89}
2026-03-03 06:16:30.983+00	{0,0,0.9995879,-0.02870536}	{-103.804504,76.81292,1.89}
2026-03-03 06:16:31.186+00	{0,0,0.99946177,-0.03280518}	{-103.81897,76.49669,1.89}
2026-03-03 06:16:31.383+00	{0,0,0.99929273,-0.037603386}	{-103.76278,76.17331,1.89}
2026-03-03 06:16:31.586+00	{0,0,0.99908227,-0.042832203}	{-103.71744,75.781395,1.89}
2026-03-03 06:16:31.782+00	{0,0,0.9988355,-0.048245184}	{-103.669914,75.39756,1.89}
